Date,Open,High,Low,Close,Adj Close,Volume
2007-09-17,5061.120117,5218.560059,5035.520020,5178.879883,5178.879883,9120
2007-09-18,4990.720215,5191.680176,4906.240234,5112.319824,5112.319824,20126
2007-09-19,4998.399902,5072.640137,4896.000000,4934.399902,4934.399902,16166
2007-09-20,4862.720215,5008.640137,4842.240234,5004.799805,5004.799805,13482
2007-09-21,4972.799805,5122.560059,4920.319824,4934.399902,4934.399902,10561
2007-09-24,4983.040039,5113.600098,4968.959961,5113.600098,5113.600098,11205
2007-09-25,5128.959961,5128.959961,5004.799805,5049.600098,5049.600098,8735
2007-09-26,5053.439941,5084.160156,4942.080078,5027.839844,5027.839844,8780
2007-09-27,4966.399902,4988.160156,4812.799805,4921.600098,4921.600098,18827
2007-09-28,4928.000000,4954.879883,4864.000000,4896.000000,4896.000000,9308
2007-10-01,4902.399902,5052.160156,4889.600098,5031.680176,5031.680176,11641
2007-10-02,5120.000000,5290.240234,5111.040039,5278.720215,5278.720215,17696
2007-10-03,5207.040039,5246.720215,5130.240234,5146.879883,5146.879883,8345
2007-10-04,5112.319824,5290.240234,5109.759766,5253.120117,5253.120117,10996
2007-10-05,5172.479980,5208.319824,5007.359863,5007.359863,5007.359863,12213
2007-10-08,4971.520020,5117.439941,4867.839844,4906.240234,4906.240234,14288
2007-10-09,4858.879883,4953.600098,4848.640137,4878.080078,4878.080078,10123
2007-10-10,4997.120117,5039.359863,4947.200195,5002.240234,5002.240234,9286
2007-10-11,4998.399902,5027.839844,4879.359863,4899.839844,4899.839844,10399
2007-10-12,4866.560059,4985.600098,4844.799805,4980.479980,4980.479980,5863
2007-10-15,5185.279785,5315.839844,5145.600098,5313.279785,5313.279785,19355
2007-10-16,5282.560059,5342.720215,5204.479980,5250.560059,5250.560059,7828
2007-10-17,5310.720215,5376.000000,5260.799805,5336.319824,5336.319824,17795
2007-10-18,5372.160156,5445.120117,5230.080078,5292.799805,5292.799805,13055
2007-10-19,5209.600098,5227.520020,5067.520020,5070.080078,5070.080078,17698
2007-10-22,4994.560059,5015.040039,4917.759766,4956.160156,4956.160156,10812
2007-10-23,4926.720215,4929.279785,4848.640137,4919.040039,4919.040039,10583
2007-10-24,4980.479980,5070.080078,4976.640137,5056.000000,5056.000000,11232
2007-10-25,5085.439941,5149.439941,4976.640137,5143.040039,5143.040039,13099
2007-10-26,5111.040039,5137.919922,5049.600098,5126.399902,5126.399902,6366
2007-10-29,5209.600098,5268.479980,5190.399902,5248.000000,5248.000000,14289
2007-10-30,5342.720215,5373.439941,5250.560059,5251.839844,5251.839844,14096
2007-10-31,5295.359863,5500.160156,5264.640137,5500.160156,5500.160156,17573
2007-11-01,5530.879883,5702.399902,5414.399902,5648.640137,5648.640137,20808
2007-11-02,5648.640137,5661.439941,5491.200195,5506.560059,5506.560059,8992
2007-11-05,5340.160156,5390.080078,5233.919922,5253.120117,5253.120117,14645
2007-11-06,5308.160156,5356.799805,5117.439941,5201.919922,5201.919922,11855
2007-11-07,5148.160156,5185.279785,4976.640137,5043.200195,5043.200195,20278
2007-11-08,5066.240234,5108.479980,4949.759766,5099.520020,5099.520020,11059
2007-11-09,5164.799805,5242.879883,5140.479980,5208.319824,5208.319824,10514
2007-11-12,5109.759766,5310.720215,5100.799805,5204.479980,5204.479980,9141
2007-11-13,5306.879883,5320.959961,5191.680176,5223.680176,5223.680176,7841
2007-11-14,5249.279785,5312.000000,5120.000000,5150.720215,5150.720215,9050
2007-11-15,5143.040039,5180.160156,5049.600098,5064.959961,5064.959961,6723
2007-11-16,5154.560059,5269.759766,5088.000000,5246.720215,5246.720215,7342
2007-11-19,5278.720215,5278.720215,5108.479980,5125.120117,5125.120117,5091
2007-11-20,5022.720215,5025.279785,4916.479980,4931.839844,4931.839844,14854
2007-11-21,4902.399902,5032.959961,4890.879883,4948.479980,4948.479980,8215
2007-11-23,5040.640137,5057.279785,5000.959961,5049.600098,5049.600098,2730
2007-11-26,5162.240234,5198.080078,5000.959961,5049.600098,5049.600098,7647
2007-11-27,5002.240234,5015.040039,4897.279785,4926.720215,4926.720215,6804
2007-11-28,4861.439941,4871.680176,4704.000000,4720.640137,4720.640137,15077
2007-11-29,4705.279785,4774.399902,4647.680176,4711.680176,4711.680176,12318
2007-11-30,4710.399902,4730.879883,4583.680176,4620.799805,4620.799805,9816
2007-12-03,4505.600098,4579.839844,4473.600098,4576.000000,4576.000000,11956
2007-12-04,4536.319824,4536.319824,4453.120117,4490.240234,4490.240234,7424
2007-12-05,4491.520020,4579.839844,4483.839844,4535.040039,4535.040039,8028
2007-12-06,4623.359863,4688.640137,4600.319824,4609.279785,4609.279785,7772
2007-12-07,4550.399902,4579.839844,4469.759766,4500.479980,4500.479980,8140
2007-12-10,4436.479980,4520.959961,4412.160156,4460.799805,4460.799805,9727
2007-12-11,4520.959961,4542.720215,4403.200195,4485.120117,4485.120117,7163
2007-12-12,4552.959961,4670.720215,4535.040039,4665.600098,4665.600098,11188
2007-12-13,4665.600098,4736.000000,4518.399902,4541.439941,4541.439941,10236
2007-12-14,4482.560059,4494.080078,4416.000000,4424.959961,4424.959961,9373
2007-12-17,4421.120117,4476.160156,4382.720215,4432.640137,4432.640137,5866
2007-12-18,4490.240234,4515.839844,4445.439941,4515.839844,4515.839844,4683
2007-12-19,4491.520020,4520.959961,4403.200195,4503.040039,4503.040039,6135
2007-12-20,4508.160156,4544.000000,4422.399902,4467.200195,4467.200195,6077
2007-12-21,4441.600098,4537.600098,4441.600098,4503.040039,4503.040039,7360
2007-12-24,4427.520020,4451.839844,4381.439941,4419.839844,4419.839844,4757
2007-12-26,4412.160156,4440.319824,4396.799805,4437.759766,4437.759766,3930
2007-12-27,4327.680176,4510.720215,4298.240234,4441.600098,4441.600098,11950
2007-12-28,4469.759766,4576.000000,4456.959961,4547.839844,4547.839844,9624
2007-12-31,4555.520020,4660.479980,4555.520020,4640.000000,4640.000000,5350
2008-01-02,4756.479980,4896.000000,4743.680176,4896.000000,4896.000000,15487
2008-01-03,4802.560059,4934.399902,4707.839844,4776.959961,4776.959961,12276
2008-01-04,4741.120117,4861.439941,4645.120117,4832.000000,4832.000000,12551
2008-01-07,4808.959961,4912.640137,4768.000000,4870.399902,4870.399902,11241
2008-01-08,4911.359863,4948.479980,4887.040039,4915.200195,4915.200195,8122
2008-01-09,5024.000000,5039.359863,4967.680176,5024.000000,5024.000000,12543
2008-01-10,5024.000000,5130.240234,4948.479980,5121.279785,5121.279785,11288
2008-01-11,5136.640137,5199.359863,5008.640137,5041.919922,5041.919922,10729
2008-01-14,5228.799805,5245.439941,5095.680176,5168.640137,5168.640137,10610
2008-01-15,5128.959961,5139.200195,4998.399902,5044.479980,5044.479980,7602
2008-01-16,5086.720215,5103.359863,5011.200195,5027.839844,5027.839844,7119
2008-01-17,4981.759766,5048.319824,4928.000000,4985.600098,4985.600098,5637
2008-01-18,5089.279785,5089.279785,4915.200195,4915.200195,4915.200195,4695
2008-01-22,4817.919922,4878.080078,4741.120117,4753.919922,4753.919922,9151
2008-01-23,4779.520020,4794.879883,4702.720215,4759.040039,4759.040039,7355
2008-01-24,4779.520020,4881.919922,4770.560059,4881.919922,4881.919922,6813
2008-01-25,4885.759766,4972.799805,4866.560059,4951.040039,4951.040039,7021
2008-01-28,4962.560059,5040.640137,4921.600098,5040.640137,5040.640137,3806
2008-01-29,4976.640137,4997.120117,4902.399902,4966.399902,4966.399902,3913
2008-01-30,5058.560059,5068.799805,4976.640137,5025.279785,5025.279785,4745
2008-01-31,5016.319824,5057.279785,4958.720215,5027.839844,5027.839844,5782
2008-02-01,4948.479980,4953.600098,4823.040039,4823.040039,4823.040039,7961
2008-02-04,4768.000000,4999.680176,4747.520020,4912.640137,4912.640137,8418
2008-02-05,4943.359863,4999.680176,4925.439941,4975.359863,4975.359863,8341
2008-02-06,5017.600098,5034.240234,4947.200195,4986.879883,4986.879883,5460
2008-02-07,5020.160156,5107.200195,4977.919922,5107.200195,5107.200195,6560
2008-02-08,5061.120117,5231.359863,5056.000000,5184.000000,5184.000000,8253
2008-02-11,5294.080078,5383.680176,5265.919922,5328.640137,5328.640137,16744
2008-02-12,5327.359863,5378.560059,5216.000000,5231.359863,5231.359863,12452
2008-02-13,5237.759766,5340.160156,5210.879883,5250.560059,5250.560059,3266
2008-02-14,5312.000000,5488.640137,5310.720215,5461.759766,5461.759766,10614
2008-02-15,5493.759766,5493.759766,5390.080078,5423.359863,5423.359863,7659
2008-02-19,5561.600098,5612.799805,5553.919922,5601.279785,5601.279785,7145
2008-02-20,5638.399902,5647.359863,5556.479980,5576.959961,5576.959961,8169
2008-02-21,5580.799805,5635.839844,5527.040039,5539.839844,5539.839844,13191
2008-02-22,5507.839844,5783.040039,5492.479980,5783.040039,5783.040039,14695
2008-02-25,5799.680176,5849.600098,5656.319824,5747.200195,5747.200195,10332
2008-02-26,5790.720215,5850.879883,5717.759766,5742.080078,5742.080078,10722
2008-02-27,5702.399902,5740.799805,5603.839844,5640.959961,5640.959961,5730
2008-02-28,5740.799805,5925.120117,5728.000000,5889.279785,5889.279785,8159
2008-02-29,5875.200195,5888.000000,5809.919922,5834.240234,5834.240234,4023
2008-03-03,5857.279785,5990.399902,5784.319824,5815.040039,5815.040039,8630
2008-03-04,5859.839844,5922.560059,5804.799805,5838.080078,5838.080078,9753
2008-03-05,5949.439941,6159.359863,5911.040039,6092.799805,6092.799805,12625
2008-03-06,6067.200195,6144.000000,6018.560059,6092.799805,6092.799805,8934
2008-03-07,6210.560059,6238.720215,6045.439941,6108.160156,6108.160156,9552
2008-03-10,6080.000000,6275.839844,6007.040039,6259.200195,6259.200195,8449
2008-03-11,6199.040039,6311.680176,6146.560059,6246.399902,6246.399902,9800
2008-03-12,6213.120117,6272.000000,6140.160156,6257.919922,6257.919922,8816
2008-03-13,6261.759766,6415.359863,6254.080078,6415.359863,6415.359863,10579
2008-03-14,6400.000000,6415.359863,6067.200195,6195.200195,6195.200195,10416
2008-03-17,5976.319824,6091.520020,5652.479980,5758.720215,5758.720215,18110
2008-03-18,5731.839844,5913.600098,5684.479980,5913.600098,5913.600098,8679
2008-03-19,5775.359863,5804.799805,5607.680176,5612.799805,5612.799805,16384
2008-03-20,5465.600098,5753.600098,5312.000000,5675.520020,5675.520020,15793
2008-03-24,5703.680176,5895.680176,5689.600098,5831.680176,5831.680176,4704
2008-03-25,5864.959961,5922.560059,5797.120117,5886.720215,5886.720215,7227
2008-03-26,5902.080078,6026.240234,5888.000000,5982.720215,5982.720215,5680
2008-03-27,5893.120117,6037.759766,5836.799805,5981.439941,5981.439941,4402
2008-03-28,6033.919922,6083.839844,5978.879883,6078.720215,6078.720215,4293
